PRES,BU,PLOT,MONDATE,SPCODE,IND,COVER,LAST BURN,MON_YEAR,BURN_YEAR
ABRP,40,8,8/27/1998,QU,2,2.55,3/27/1992,1998,1996
ABRP,40,8,8/27/1998,HW,2,1.3,3/27/1992,1998,1996
ABRP,40,8,8/27/1998,PE,0,0,3/27/1992,1998,1996
ABRP,40,8,8/27/1998,PP,0,0,3/27/1992,1998,1996
ABRP,40,9,8/28/1998,QL,0,0,3/27/1992,1998,1996
ABRP,40,9,8/28/1998,QE,5,6.55,3/27/1992,1998,1996
ABRP,40,9,8/28/1998,QU,0,0,3/27/1992,1998,1996
ABRP,40,9,8/28/1998,HW,11,6.7,3/27/1992,1998,1996
ABRP,40,9,8/28/1998,PE,0,0,3/27/1992,1998,1996
ABRP,40,9,8/28/1998,PP,0,0,3/27/1992,1998,1996
ABRP,40,10,8/28/1998,QL,0,0,3/27/1992,1998,1996
ABRP,40,10,8/28/1998,QE,7,2.95,3/27/1992,1998,1996
ABRP,40,10,8/28/1998,QU,0,0,3/27/1992,1998,1996
ABRP,40,10,8/28/1998,HW,39,13.95,3/27/1992,1998,1996
ABRP,40,10,8/28/1998,PE,0,0,3/27/1992,1998,1996
ABRP,40,10,8/28/1998,PP,1,0.05,3/27/1992,1998,1996
ABRP,22,1,8/16/1999,QL,6,6.4,7/30/1998,1998,1996
ABRP,22,1,8/16/1999,QE,0,0,7/30/1998,1998,1996
ABRP,22,1,8/16/1999,QU,1,1.6,7/30/1998,1998,1996
ABRP,22,1,8/16/1999,HW,0,0,7/30/1998,1998,1996
ABRP,22,1,8/16/1999,PP,0,0,7/30/1998,1998,1996
ABRP,22,1,8/16/1999,PE,1,0.45,7/30/1998,1998,1996
ABRP,22,2,8/16/1999,QL,23,5.85,7/30/1998,1998,1996
ABRP,22,2,8/16/1999,QE,0,0,7/30/1998,1998,1996
ABRP,22,2,8/16/1999,QU,0,0,7/30/1998,1998,1996
ABRP,22,2,8/16/1999,HW,8,2.1,7/30/1998,1998,1996
ABRP,22,2,8/16/1999,PP,0,0,7/30/1998,1998,1996
ABRP,22,2,8/16/1999,PE,6,18.15,7/30/1998,1998,1996
ABRP,22,3,8/20/1999,QL,52,6.2,7/30/1998,1998,1996
ABRP,22,3,8/20/1999,QE,4,10.05,7/30/1998,1998,1996
ABRP,22,3,8/20/1999,QU,0,0,7/30/1998,1998,1996
ABRP,22,3,8/20/1999,HW,1,1.3,7/30/1998,1998,1996
ABRP,22,3,8/20/1999,PP,0,0,7/30/1998,1998,1996
ABRP,22,3,8/20/1999,PE,3,5,7/30/1998,1998,1996
ABRP,22,4,8/18/1999,QL,15,14.8,7/30/1998,1998,1996
ABRP,22,4,8/18/1999,QE,0,0,7/30/1998,1998,1996
ABRP,22,4,8/18/1999,QU,0,0,7/30/1998,1998,1996
ABRP,22,4,8/18/1999,HW,32,4.25,7/30/1998,1998,1996
ABRP,22,4,8/18/1999,PP,0,0,7/30/1998,1998,1996
ABRP,22,4,8/18/1999,PE,1,4.25,7/30/1998,1998,1996
ABRP,22,5,8/17/1999,QL,3,2.95,7/30/1998,1998,1996
ABRP,22,5,8/17/1999,QE,0,0,7/30/1998,1998,1996
ABRP,22,5,8/17/1999,QU,1,3.6,7/30/1998,1998,1996
ABRP,22,5,8/17/1999,HW,5,4.05,7/30/1998,1998,1996
ABRP,22,5,8/17/1999,PP,0,0,7/30/1998,1998,1996
ABRP,22,5,8/17/1999,PE,4,11.85,7/30/1998,1998,1996
ABRP,32,1,8/26/1999,QL,0,0,4/27/1998,1998,1996
ABRP,32,1,8/26/1999,QE,0,0,4/27/1998,1998,1996
ABRP,32,1,8/26/1999,QU,0,0,4/27/1998,1998,1996
ABRP,32,1,8/26/1999,HW,0,0,4/27/1998,1998,1996
ABRP,32,1,8/26/1999,PP,5,1.8,4/27/1998,1998,1996
ABRP,32,1,8/26/1999,PE,0,0,4/27/1998,1998,1996
ABRP,32,2,8/27/1999,QL,3,1.5,4/27/1998,1998,1996
ABRP,32,2,8/27/1999,QE,0,0,4/27/1998,1998,1996
ABRP,32,2,8/27/1999,QU,0,0,4/27/1998,1998,1996
ABRP,32,2,8/27/1999,HW,0,0,4/27/1998,1998,1996
ABRP,32,2,8/27/1999,PP,0,0,4/27/1998,1998,1996
ABRP,32,2,8/27/1999,PE,2,9.5,4/27/1998,1998,1996
ABRP,32,3,8/27/1999,QL,0,0,4/27/1998,1998,1996
ABRP,32,3,8/27/1999,QE,1,0.05,4/27/1998,1998,1996
ABRP,32,3,8/27/1999,QU,0,0,4/27/1998,1998,1996
ABRP,32,3,8/27/1999,HW,0,0,4/27/1998,1998,1996
ABRP,32,3,8/27/1999,PP,0,0,4/27/1998,1998,1996
ABRP,32,3,8/27/1999,PE,3,3.78,4/27/1998,1998,1996
ABRP,32,4,8/30/1999,QL,1,0.75,4/27/1998,1998,1996
ABRP,32,4,8/30/1999,QE,0,0,4/27/1998,1998,1996
ABRP,32,4,8/30/1999,QU,0,0,4/27/1998,1998,1996
ABRP,32,4,8/30/1999,HW,0,0,4/27/1998,1998,1996
ABRP,32,4,8/30/1999,PP,1,1.9,4/27/1998,1998,1996
ABRP,32,4,8/30/1999,PE,0,0,4/27/1998,1999,1996
ABRP,32,5,9/3/1999,QL,0,0,4/27/1998,1999,1996
ABRP,32,5,9/3/1999,QE,13,3.85,4/27/1998,1999,1996
ABRP,32,5,9/3/1999,QU,0,0,4/27/1998,1999,1996
